Player,Current Team,Shot Team,Month,Year,Opponent,Opp. GK,Foot,Run up speed,Kick speed,X,Y,Result
Trevor Amann,Sacramento Republic,Northern Colorado FC,9,2023,Central Valley Fuego,None,Right,Medium,Medium,2,1,Goal
Trevor Amann,Sacramento Republic,Northern Colorado FC,7,2023,Charlotte Independence,None,Right,Slow,Medium,9,2,Goal
Trevor Amann,Sacramento Republic,Northern Colorado FC,6,2023,One Knoxville,None,Right,Medium,Fast,3,0,Save
Trevor Amann,Sacramento Republic,Northern Colorado FC,5,2023,Central Valley Fuego,None,Right,Slow,Medium,8,0,Goal
Trevor Amann,Sacramento Republic,Northern Colorado FC,9,2022,North Carolina FC,None,Right,Medium,Fast,2,1,Goal
Brandan Craig,El Paso Locomotive,Philadelphia Union II,4,2023,Toronto FC II,None ,Right,Fast,Fast,3,2,Goal
Brandan Craig,El Paso Locomotive,Philadelphia Union II,4,2023,Chicago Fire II,None,Right,Fast,Fast,2,0,Goal
Brandan Craig,El Paso Locomotive,Philadelphia Union II,8,2022,Inter Miami II,None,Right,Medium,Fast,9,0,Goal
Tony Alfaro,El Paso Locomotive,Reno 1868,10,2020,Phoenix Rising,None,Left,Medium,Medium,2,1,Goal
Noah Dollenmayer,El Paso Locomotive,LAFC II,5,2023,Tacoma Defiance,None,Left,Fast,Slow,5,3,Miss
Petar Petrovic,El Paso Locomotive,Trelleborg,10,2021,Akropolis,None,Right,Medium,Fast,3,0,Goal
Petar Petrovic,El Paso Locomotive,Trelleborg,4,2021,Hammarby,None,Right,Medium,Fast,2,1,Goal
Eric Calvillo,El Paso Locomotive,El Paso Locomotive,7,2023,San Antonio FC,None,Right,Medium,Fast,2,1,Goal
Francisco Nevarez,El Paso Locomotive,FC Juarez U20,7,2021,Atlas U20,None,Right,Medium,Fast,2,0,Goal
