Player,Current Team,Shot Team,Month,Year,Opponent,Opp. GK,Foot,Run up speed,Kick speed,X,Y,Result
Ignacio Bailone,,San Antonio FC,8,2020,Rio Grande Valley,Paul Blanchette,Left,Medium,Medium,3,0,Save
Ignacio Bailone,,Instituto,12,2017,Quilmes,None,Left,Medium,Medium,2,0,Goal
Ignacio Bailone,,Estudiantes,9,2016,Union Santa Fe,None,Left,Medium,Fast,2,0,Save
Juan Azocar,,Deportivo La Guaira,6,2017,Caracas,None,Right,Medium,Medium,9,0,Miss
Juan Azocar,,Deportivo Tachira,11,2016,Zulia,None,Right,Medium,Fast,9,0,Goal
Kirmani Smith,,Loudoun United,8,2021,Charleston Battery,None,Left,Slow,Fast,8,1,Save
Niko Hansen,,Columbus Crew,11,2018,DC United,None,Right,,,,,Goal
Niko Hansen,,Atlanta United,10,2017,Atlanta United  ,None,Right,,,,,Goal
Isaiah Parker,,North Texas SC,4,2022,Tacoma Defiance,None,Left,Medium,Medium,9,0,Goal
Ismaila Jome,,North Texas SC,8,2022,Portland Timbers II,None,Left,Fast,Fast,8,1,Goal
Jorge Hernandez,,San Antonio FC,4,2023,Las Vegas Lights,None,Left,Fast,Fast,3,1,Save
Jorge Hernandez,,Chornomorets,2,2022,Polessya,None,Left,Medium,Fast,2,1,Goal
Jorge Hernandez,,LA Galaxy II,9,2021,Sacramento Republic,None,Left,Medium,Slow,5,2,Goal
Jorge Hernandez,,LA Galaxy II,8,2021,Las Vegas Lights,None,Left,Medium,Fast,9,1,Goal
Tani Oluwaseyi,,Minnesota United II,8,2022,Real Monarchs,None,Left,Medium,Fast,8,0,Goal
Tani Oluwaseyi,,Minnesota United II,5,2022,Houston Dynamo II,None,Left,Medium,Fast,9,0,Goal
Santiago Patino,,San Antonio FC,11,2022,Louisville City,None,Right,Medium,Fast,9,1,Goal
Santiago Patino,,San Antonio FC,7,2022,Atlanta United II,None,Right,Medium,Fast,6,1,Goal
Santiago Patino,,San Antonio FC,11,2021,Orange County SC,None,Right,Medium,Fast,7,0,Goal
Carlos Akapo,,Equatorial Guinea,1,2022,Mali,None,Right,Medium,Slow,6,1,Goal
Carlos Akapo,,Cadiz,8,2021,Atletico Madrid,None,Right,Fast,Medium,4,0,Goal
Carlos Akapo,,Cadiz,1,2021,Pontevedra,None,Right,Medium,Slow,2,1,Goal
Antonio Rodrigues,,Gremio,1,2020,Pelotas,None,Right,Slow,Fast,7,0,Save
Tommy Thompson,,Sacramento Republic,5,2016,Seattle Sounders II,None,Right,Fast,Fast,7,0,Save
Miguel Trauco,,Saint Etienne,5,2022,Auxerre,None,Left,Slow,Medium,3,0,Goal
Miguel Trauco,,Peru,7,2021,Paraguay,None,Left,Slow,Fast,9,0,Goal
Miguel Trauco,,Flamengo,1,2019,Ajax,None,Left,Medium,Medium,9,1,Goal
Miguel Trauco,,Peru,6,2016,Colombia,None,Left,Medium,Fast,5,0,Save
Tanner Beason,,San Jose Earthquakes,5,2022,Seattle Sounders  ,None,Left,Fast,Fast,2,0,Goal
Tanner Beason,,Stanford Cardinal,11,2019,Seattle Redhawks,None,Left,Fast,Medium,3,0,Goal
Niko Tsakiris,,United States U20,6,2022,St. Kitts and Nevis U20,None,Left,Medium,Medium,9,0,Goal
Jamiro Monteiro,,San Jose Earthquakes,5,2022,Seattle Sounders,None,Right,Fast,Medium,9,1,Goal
Jamiro Monteiro,,Philadelphia Union,9,2021,America,None,Right,Fast,Fast,8,1,Save
Jamiro Monteiro,,Philadelphia Union,4,2021,Deportivo Saprissa,None,Right,Fast,Fast,5,1,Goal
Jamiro Monteiro,,Philadelphia Union,11,2020,Columbus Crew,None,Right,Fast,Fast,7,1,Goal
Jamiro Monteiro,,Philadelphia Union,6,2020,New York Red Bulls  ,None,Right,Fast,Fast,6,0,Save
Jamiro Monteiro,,Philadelphia Union,6,2019,Minnesota United,None,Right,Fast,Fast,9,0,Goal
Jamiro Monteiro,,Philadelphia Union,4,2019,Montreal Impact,None,Right,Medium,Fast,8,0,Goal
Jackson Yueill,,San Jose Earthquakes,5,2022,Seattle Sounders,None,Right,Medium,Fast,3,1,Save
Jackson Yueill,,San Jose Earthquakes,11,2020,Sporting Kansas City  ,None,Right,Medium,Fast,3,1,Save
Cristian Espinoza,,San Jose Earthquakes,4,2023,Houston Dynamo,None,Right,Slow,Fast,3,1,Goal
Cristian Espinoza,,San Jose Earthquakes,4,2023,Houston Dynamo,None,Right,Fast,Medium,7,0,Goal
Cristian Espinoza,,San Jose Earthquakes,9,2022,LA Galaxy  ,None,Right,Slow,Fast,9,1,Goal
Cristian Espinoza,,San Jose Earthquakes,7,2022,Real Salt Lake,None,Right,Medium,Fast,2,0,Goal
Cristian Espinoza,,San Jose Earthquakes,7,2022,LA Galaxy,None,Right,Medium,Fast,9,0,Goal
Cristian Espinoza,,San Jose Earthquakes,5,2022,Seattle Sounders,None,Right,Medium,Fast,2,0,Goal
Cristian Espinoza,,San Jose Earthquakes,4,2022,Seattle Sounders,None,Right,Medium,Medium,8,1,Goal
Cristian Espinoza,,San Jose Earthquakes,3,2022,Columbus Crew,None,Right,Slow,Fast,2,0,Goal
Cristian Espinoza,,San Jose Earthquakes,4,2021,FC Dallas,None,Right,Medium,Fast,4,0,Save
Cristian Espinoza,,San Jose Earthquakes,11,2020,Sporting Kansas City,None,Right,Medium,Fast,3,0,Save
Cristian Espinoza,,San Jose Earthquakes,6,2019,Sacramento Republic,None,Right,Medium,Fast,5,2,Goal
Cade Cowell,,United States U20,6,2022,St. Kitts and Nevis U20,None,Right,Medium,Fast,2,0,Goal
Cade Cowell,,San Jose Earthquakes,4,2022,Bay Cities FC,None,Right,Medium,Medium,2,0,Goal
Jeremy Ebobisse,,San Jose Earthquakes,4,2023,Sporting Kansas City,None,Left,Medium,Medium,9,0,Goal
Jeremy Ebobisse,,San Jose Earthquakes,9,2022,FC Dallas,None,Left,Medium,Medium,2,0,Goal
Jeremy Ebobisse,,San Jose Earthquakes,5,2022,Seattle Sounders,None,Left,Medium,Medium,2,0,Goal
Jeremy Ebobisse,,San Jose Earthquakes,4,2022,Austin FC,None,Left,Medium,Medium,2,0,Goal
Jeremy Ebobisse,,Portland Timbers  ,11,2020,FC Dallas,None,Left,Medium,Medium,9,0,Goal
Ousseni Bouda,,San Jose Earthquakes II,4,2022,Tacoma Defiance,None,Right,Medium,Medium,2,0,Goal
Will Richmond,,San Jose Earthquakes II,7,2022,North Texas SC,None,Right,Fast,Fast,9,0,Goal
Will Richmond,,San Jose Earthquakes II,7,2022,Houston Dynamo II,None,Right,Fast,Fast,2,0,Goal
Will Richmond,,San Jose Earthquakes II,5,2022,Saint Louis City II,None,Right,Fast,Fast,6,2,Goal
Will Richmond,,San Jose Earthquakes II,5,2022,Colorado Rapids II,None,Right,Fast,Fast,3,0,Goal
Forrest Lasso,,FC Cincinnatti,10,2018,Nashville SC,None,Left,Slow,Medium,5,2,Goal
Sebastian Dalgaard,,OKC Energy,7,2016,Orange County SC,None,Right,Fast,Fast,1,0,Miss
Charlie Dennis,,Tampa Bay Rowdies,5,2023,Rio Grande Valley,None,Left,Medium,Fast,7,2,Goal
Charlie Dennis,,Tampa Bay Rowdies,4,2023,Detroit City,None,Left,Medium,Medium,5,0,Goal
Charlie Dennis,,FC Tuscon,10,2021,Forward Madison,None,Left,Medium,Medium,5,1,Goal
Charlie Dennis,,FC Tuscon,9,2021,Union Omaha,None,Left,Medium,Fast,9,1,Goal
Charlie Dennis,,FC Tuscon,9,2021,Greenville Triumph,None,Left,Medium,Medium,5,1,Goal
Charlie Dennis,,FC Tuscon,8,2021,Fort Lauterdale,None,Left,Medium,Medium,9,0,Goal
Abel Caputo,,Inter Miami II,5,2023,Philadelphia Union II,None,Right,Medium,Medium,2,0,Save
Abel Caputo,,Inter Miami II,9,2022,Columbus Crew II,None,Right,Medium,Medium,2,0,Goal
Abel Caputo,,Inter Miami II,8,2022,Philadelphia Union II,None,Right,Medium,Fast,4,1,Save
Abel Caputo,,Inter Miami II,8,2022,FC Cincinnatti II,None,Right,Medium,Medium,2,0,Goal
Lewis Hilton,,Saint Louis FC,5,2019,Des Moines Menace,None,Right,Medium,Fast,6,2,Goal
Jerome Williams,,FC Tulsa,4,2022,Loudoun United,None,Right,Medium,Fast,3,0,Save
Felix Schroter,,Jerv,12,2021,Brann,None,Right,Medium,Fast,9,1,Goal
Lucky Mkosana,,Penn FC,8,2018,Richmond Kickers,None,Right,Fast,Fast,8,0,Goal
Lucky Mkosana,,Penn FC,6,2018,Richmond Kickers,None,Right,Fast,Fast,9,0,Goal
Lucky Mkosana,,Penn FC,7,2018,Indy Eleven,None,Right,Fast,Fast,9,1,Goal
Lucky Mkosana,,NY Cosmos,11,2017,Miami FC,None,Right,Fast,Medium,9,1,Goal
Ariel Martinez,,Hartford Athletic,9,2022,LA Galaxy II,None,Left,Medium,Medium,2,0,Goal
Ariel Martinez,,FC Tulsa,10,2022,El Paso Locomotive,None,Left,Fast,Fast,3,1,Save
Ariel Martinez,,FC Tulsa,8,2020,Rio Grande Valley,None,Left,Fast,Fast,3,0,Goal
Ariel Martinez,,Miami FC,11,2017,NY Cosmos,None,Left,Medium,Medium,2,1,Goal
Caleb Jennings,,Tampa Bay Rowdies,3,2023,Indy Eleven,None,Right,Medium,Fast,3,1,Save
Caleb Jennings,,Los Angeles FC,8,2022,America,None,Right,Medium,Fast,3,1,Goal
Caleb Jennings,,Las Vegas Lights,6,2022,Orange County SC,None,Right,Medium,Fast,2,0,Goal
Caleb Jennings,,Las Vegas Lights,6,2021,San Antonio FC,None,Right,Medium,Medium,2,0,Goal
Akeem Ward,,Oakland Roots,11,2021,Orange County SC,None,Right,Medium,Medium,7,0,Save
Jelani Peters,,Pittsburgh Riverhounds,10,2022,Birmingham Legion,None,Left,Medium,Medium,8,1,Goal
Aiden McFadden,,Atlanta United II,5,2023,Orlando City B,None,Right,Medium,Medium,2,0,Goal
Aaron Molloy,,Memphis 901,9,2023,Tampa Bay Rowdies,None,Right,Fast,Medium,6,2,Save
Aaron Molloy,,Memphis 901,6,2023,Miami FC,None,Right,Medium,Fast,2,0,Goal
Aaron Molloy,,Memphis 901,4,2023,Las Vegas Lights,None,Right,Fast,Fast,7,1,Save
Aaron Molloy,,Memphis 901,10,2022,Tampa Bay Rowdies,None,Right,Fast,Fast,3,0,Save
Aaron Molloy,,Memphis 901,10,2022,FC Tulsa,None,Right,Fast,Fast,2,0,Goal
Aaron Molloy,,Memphis 901,10,2022,New York Red Bulls II,None,Right,Medium,Medium,7,0,Goal
Aaron Molloy,,Memphis 901,6,2021,Forward Madison,None,Right,Fast,Medium,5,1,Goal
Bruno Lapa,,Memphis 901,6,2023,Miami FC,None,Right,Medium,Fast,3,0,Goal
Bruno Lapa,,Birmingham Legion,10,2022,Pittsburgh Riverhounds,None,Right,Medium,Medium,8,1,Save
Bruno Lapa,,Birmingham Legion,7,2022,Loudoun United,None,Right,Medium,Fast,2,0,Goal
Bruno Lapa,,Birmingham Legion,7,2022,Atlanta United II,None,Right,Medium,Fast,8,0,Save
Bruno Lapa,,Birmingham Legion,4,2022,Loudoun United,None,Right,Fast,Fast,3,1,Save
Bruno Lapa,,Birmingham Legion,5,2021,Atlanta United II,None,Right,Medium,Fast,9,0,Goal
Bruno Lapa,,Birmingham Legion,9,2021,Memphis 901,None,Right,Medium,Medium,2,0,Goal
Rodrigo Da Costa,,FC Tulsa,7,2021,Atlanta United II,None,Left,Slow,Medium,8,0,Save
Rodrigo Da Costa,,Tulsa Roughnecks,3,2019,Rio Grande Valley,None,Left,Medium,Medium,9,2,Goal
Dylan Borczak,,Oakland Golden Grizzlies,9,2021,Robert Morris Colonials,None,Right,Fast,Medium,6,0,Goal
Camden Riley,,Swope Park Rangers,6,2019,Charlotte Independence,None,Right,Medium,Fast,3,0,Save
Camden Riley,,Swope Park Rangers,5,2019,Memphis 901,None,Right,Medium,Fast,2,0,Goal
Carlos Guzman,,Tijauna,10,2017,Morelia,None,Right,Medium,Slow,7,3,Miss
Carlos Guzman,,Tijauna,3,2016,Necaxa,None,Right,Medium,Fast,9,2,Goal
Michael Chilaka,,Beitar Tel Aviv Bat Yam,5,2021,Hapoel Tel Aviv,None,Right,Medium,Fast,2,0,Goal
Joe Corona,,San Diego Loyal,8,2023,Memphis 901,None,Right,Medium,Fast,9,0,Save
